model,fold,series,cutoff,test_start,test_end,smape,mae,rmse,mase,n_obs,fit_time_s
LightGBM,0,s1_i1,2013-06-29,2013-06-30,2013-07-29,19.496215751137125,3.8404487013454878,4.811502543503613,0.8966229759482506,30,0.022346019744873047
LightGBM,0,s1_i2,2013-06-29,2013-06-30,2013-07-29,9.660859342137126,5.577837409221636,7.193543436863305,0.6967262611370464,30,0.022405147552490234
LightGBM,0,s1_i3,2013-06-29,2013-06-30,2013-07-29,16.59812654228426,5.843709239206492,6.948803535867674,1.003934159095375,30,0.023620128631591797
LightGBM,0,s1_i4,2013-06-29,2013-06-30,2013-07-29,18.835685426787926,3.6076912828031804,4.3860747467599905,0.8377591835973395,30,0.023501873016357422
LightGBM,0,s1_i5,2013-06-29,2013-06-30,2013-07-29,17.4098946733358,3.104123051405948,4.101001487471673,0.9040627739677207,30,0.023456096649169922
LightGBM,0,s1_i6,2013-06-29,2013-06-30,2013-07-29,10.998268725868549,6.142854426869705,7.616539421697739,0.767856803262731,30,0.023096084594726562
LightGBM,0,s1_i7,2013-06-29,2013-06-30,2013-07-29,10.186456782668772,5.514569856432172,6.660847016906743,0.7668975763907496,30,0.021908283233642578
LightGBM,0,s1_i8,2013-06-29,2013-06-30,2013-07-29,10.806710995522241,7.738647401650381,9.555590708720038,0.8055270760205533,30,0.0252377986907959
LightGBM,0,s1_i9,2013-06-29,2013-06-30,2013-07-29,12.18375336331447,6.077485167521547,7.84848535181363,0.823339807234761,30,0.025159835815429688
LightGBM,0,s1_i10,2013-06-29,2013-06-30,2013-07-29,9.783669637609256,6.396463316167518,8.25688837995274,0.7120901889149222,30,0.022729158401489258
LightGBM,0,s1_i11,2013-06-29,2013-06-30,2013-07-29,6.958770508737635,4.604123358090019,6.191954419467526,0.5809725316185741,30,0.022172927856445312
LightGBM,0,s1_i12,2013-06-29,2013-06-30,2013-07-29,11.329788699218296,7.762654326093696,9.877784040769539,1.0298613483405241,30,0.02131509780883789
LightGBM,0,s1_i13,2013-06-29,2013-06-30,2013-07-29,9.532162867490403,7.557590675262763,8.912254230897911,0.8716421244464426,30,0.021612882614135742
LightGBM,0,s1_i14,2013-06-29,2013-06-30,2013-07-29,11.623625431804392,6.606842407490023,8.473153490873296,0.9247441232490237,30,0.021136045455932617
LightGBM,0,s1_i15,2013-06-29,2013-06-30,2013-07-29,6.963230640966997,5.932499161161257,7.691163761857984,0.6190122767031413,30,0.02109217643737793
LightGBM,0,s1_i16,2013-06-29,2013-06-30,2013-07-29,17.719938674587375,4.4082292814079125,5.334508145806994,0.7750240503551724,30,0.020776748657226562
LightGBM,0,s1_i17,2013-06-29,2013-06-30,2013-07-29,12.788620674149845,4.344760810995917,5.116702423230078,0.7419976507146377,30,0.0216219425201416
LightGBM,0,s1_i18,2013-06-29,2013-06-30,2013-07-29,8.738556919700509,7.038176889327116,8.416361234175325,0.7614788003263635,30,0.021896839141845703
LightGBM,0,s1_i19,2013-06-29,2013-06-30,2013-07-29,13.763706801148803,5.43351809929116,7.3126390142547955,0.8752315000241672,30,0.021420955657958984
