model,fold,smape,mae,rmse,mase
ETS,0,20.49588988488908,6.7363534933578375,8.464053352165516,0.881828815457502
ETS,1,21.513629125757657,10.599113659244887,12.531763979807245,1.380872383384772
ETS,2,16.39716928966993,8.643711821594424,10.567374844644625,1.125525338623565
ETS,3,21.19084333477864,9.084669670808108,11.364695767032213,1.1681168117386447
ETS,4,18.47015941791519,6.660367298256075,8.402156958785675,0.8568495060433573
ETS,5,20.551681631635958,10.84511277029352,13.013592806213703,1.3803890086883714
ETS,6,14.641135282921809,8.15363901257906,10.007636160467474,1.0499834658338623
ETS,7,18.454955942995156,8.67902902455446,11.042634013387111,1.0947606145852895
ETS,8,17.151187154117007,6.234962635685174,7.874697213402059,0.800212744650206
ETS,9,21.481088983271064,11.526955980519674,13.78024838103475,1.4443941289072992
ETS,10,14.75210228103195,8.537925582713255,10.430591817997382,1.0891124728412438
ETS,11,17.873080420089977,8.631290898563698,10.965831005492435,1.080219705378338
LightGBM,0,16.41142786041843,5.487789051664134,6.82713052762505,0.727369186372217
LightGBM,1,12.459702021955618,6.008584309593046,7.527013413532311,0.8076981198559237
LightGBM,2,12.73412192103905,6.23730029727589,7.8343866070335295,0.8376352326019998
LightGBM,3,14.490208264671052,5.690377300170132,7.101665887901678,0.7524728377180813
LightGBM,4,14.562901929112625,5.11209115825521,6.439944471709356,0.6661105884258977
LightGBM,5,12.3914124681146,6.231623251784834,7.8567220758655045,0.8250630153383498
LightGBM,6,11.89909920036356,6.399747321597598,7.9726003940171815,0.8351967553739287
LightGBM,7,13.152774332317176,5.816745875220869,7.277679786654005,0.7503925543677613
LightGBM,8,14.583431702458858,5.213812084451944,6.498910214258049,0.6746769724852938
LightGBM,9,11.663941286748653,6.118260448184303,7.705347414964756,0.7884512627063451
LightGBM,10,11.413686152608832,6.433692576358097,8.020445848242556,0.8266845748173902
LightGBM,11,12.544930989892018,5.785162204235595,7.31733146087672,0.7376421255531134
Naive,0,28.12679493169256,9.399111111111111,11.582677323239873,1.2188808184316224
Naive,1,31.55114811033811,14.862888888888888,17.314043453773447,1.9266454985041148
Naive,2,26.175689088194634,12.757333333333333,15.462588307628168,1.6652570390253891
Naive,3,34.02681416824575,16.514,18.748970127126587,2.1202383376841296
Naive,4,23.649052362956137,8.671333333333333,10.658680040558025,1.1262170084379823
Naive,5,24.38255569618143,12.385333333333334,15.007823924479464,1.5914568280522698
Naive,6,21.490961168573282,11.461555555555556,13.892855483805397,1.4982673960190331
Naive,7,24.550380484764467,10.654222222222222,12.996285961727438,1.3779643882894614
Naive,8,25.05698255002231,9.236888888888888,11.373853750188893,1.1643270977028595
Naive,9,45.256698711598254,21.604,24.312986787756845,2.695820242454939
Naive,10,25.25844125757062,16.334222222222223,18.794732945048224,2.0498491854544025
Naive,11,27.842373939007903,14.517555555555555,17.049764621016667,1.8335870448328746
Prophet,0,19.280288228397122,6.746977598111381,8.17367593407909,0.8832022816205746
Prophet,1,12.419528819648194,5.953721649284821,7.444913818676306,0.8012740843807734
Prophet,2,12.434842887907559,6.120738683082359,7.719055951243016,0.818039354009196
Prophet,3,14.388922167136766,5.706937133455203,7.099877447080156,0.7504106045893222
Prophet,4,15.220730055908161,5.387933921262292,6.663977014011279,0.7027645836703098
Prophet,5,12.416714209083525,6.3566459298836016,8.067134682925149,0.8366643409510361
Prophet,6,12.12366655128139,6.608906931811207,8.279235873174674,0.859229306276347
Prophet,7,13.447225674977542,5.967170769879921,7.460472422738869,0.7684335043134083
Prophet,8,16.191064411603687,5.981391087013532,7.3730133205654935,0.7654351165553084
Prophet,9,12.117652595772222,6.408051100591973,8.022366254140723,0.8230933578854733
Prophet,10,11.658578031062703,6.605921434082393,8.258106526329225,0.8476809685856423
Prophet,11,13.236101980528263,6.147587109342977,7.6967282478725245,0.7797663042638462
SARIMA,0,21.94572571106808,7.446852236180366,9.319122706059803,0.9607633672045854
SARIMA,1,22.130845335443183,10.877515590139494,12.823518685845478,1.4161311260715306
SARIMA,2,16.178406442356422,8.569512500586756,10.47822597045905,1.1129536798938675
SARIMA,3,20.819494950207503,8.820833126867926,11.010223466801522,1.139869323300729
SARIMA,4,20.77256495742225,7.608180523581645,9.575262663580359,0.9631873675866122
SARIMA,5,20.796161482450824,10.982846043592236,13.142283397865853,1.3955748919506654
SARIMA,6,14.872090034505984,8.37438025541279,10.257862581562268,1.0736385001478148
SARIMA,7,18.530882190296477,8.67506292762145,11.028145694716587,1.0974420814846528
SARIMA,8,17.92137386419275,6.667697181260674,8.48617796645819,0.8441188626116248
SARIMA,9,22.123934342584185,11.881305742052307,14.139991002769788,1.4842401412557007
SARIMA,10,14.56328776301835,8.60698873485253,10.532806524938994,1.0850781877443447
SARIMA,11,17.46410719726773,8.482553552434432,10.77939440157554,1.0602468953929716
SeasonalNaive,0,23.61703971955863,7.660222222222222,9.618310562174992,1.010950134052717
SeasonalNaive,1,26.58225986191316,12.326888888888888,14.674394855790215,1.6167960319924994
SeasonalNaive,2,17.76252731731832,9.182,11.436448907873997,1.212463109674879
SeasonalNaive,3,23.81036100406668,10.132444444444443,12.55016202935114,1.3201494375917573
SeasonalNaive,4,23.91298028316083,8.386444444444443,10.451204643084633,1.081508990875998
SeasonalNaive,5,24.699652770193126,12.406444444444444,14.95612461556173,1.5862748230091597
SeasonalNaive,6,17.18534343599129,9.594666666666667,11.984006849184416,1.244500043421773
SeasonalNaive,7,21.622987746342076,10.119555555555555,12.62436891856089,1.2930309179074673
SeasonalNaive,8,21.684939361438307,7.973555555555556,9.935205913500186,1.0133818167665658
SeasonalNaive,9,25.136103384694653,12.978666666666665,15.70781736406306,1.6242383234292717
SeasonalNaive,10,17.128786772757557,9.836222222222222,12.19670734586511,1.259702082061785
SeasonalNaive,11,19.658912766254605,9.717333333333334,12.242906880145876,1.215459778421946
